ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
19001,240000.0,2,1,2,29,-1,-1,-1,-1,-1,-1,358.0,176.0,0.0,540.0,100.0,2600.0,176.0,0.0,540.0,100.0,2600.0,704.0,0
19002,200000.0,2,1,1,27,1,-2,-1,2,0,0,-896.0,2500.0,653.0,653.0,653.0,0.0,7052.0,653.0,0.0,0.0,0.0,1300.0,0
19003,100000.0,2,1,2,27,-2,-2,-2,-2,-2,-2,904.0,2635.0,636.0,2538.0,1735.0,2054.0,3710.0,636.0,4001.0,1735.0,2054.0,2581.0,0
19004,180000.0,2,1,2,29,0,0,0,0,0,0,44109.0,20896.0,18193.0,18652.0,14545.0,18545.0,8000.0,5000.0,3000.0,2000.0,2000.0,6000.0,0
19005,360000.0,2,2,2,30,0,0,-1,-1,-1,-1,82195.0,99961.0,7968.0,1816.0,5549.0,1234.0,20500.0,8007.0,1825.0,5563.0,1240.0,0.0,0
19006,130000.0,2,2,2,29,0,0,0,0,0,0,113203.0,114053.0,117602.0,119119.0,120030.0,122510.0,4200.0,5800.0,5800.0,4300.0,4500.0,4500.0,0
19007,120000.0,2,2,2,30,-2,-2,-2,-2,-2,-2,2680.0,14770.0,7817.0,416.0,270.0,0.0,14770.0,7832.0,416.0,270.0,0.0,0.0,0
19008,230000.0,2,1,2,30,-2,-2,-2,-2,-2,-2,0.0,0.0,846.0,846.0,0.0,846.0,0.0,846.0,846.0,0.0,846.0,500.0,0
19009,340000.0,2,5,2,30,0,0,0,0,0,-1,47001.0,47664.0,38192.0,39234.0,20960.0,360.0,2000.0,2000.0,2000.0,3000.0,360.0,360.0,0
19010,320000.0,2,1,2,29,0,0,0,0,0,0,198441.0,202806.0,207050.0,201114.0,190921.0,191781.0,10000.0,10000.0,10000.0,10000.0,7000.0,10000.0,0
19011,330000.0,2,3,2,29,0,0,0,0,0,0,311577.0,319838.0,303679.0,271773.0,198604.0,149923.0,13110.0,10691.0,10373.0,7901.0,5328.0,5061.0,0
19012,80000.0,2,3,2,30,2,0,0,-1,-1,-2,4794.0,4989.0,2065.0,1000.0,0.0,0.0,1074.0,1000.0,1000.0,0.0,0.0,0.0,1
19013,150000.0,2,1,1,30,-1,-1,-1,-1,-1,0,4083.0,3534.0,6484.0,12287.0,21888.0,19960.0,3537.0,6484.0,12306.0,21888.0,0.0,134.0,0
19014,160000.0,2,3,1,31,-2,-2,-2,-2,-2,-2,207.0,565.0,1990.0,0.0,0.0,0.0,565.0,2009.0,0.0,0.0,0.0,0.0,1
19015,50000.0,2,3,1,37,0,0,0,0,0,0,39804.0,41106.0,41843.0,42839.0,43690.0,44232.0,1964.0,1701.0,1697.0,1548.0,1620.0,1774.0,0
19016,300000.0,2,4,1,48,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19017,190000.0,2,2,1,36,0,0,0,0,0,0,185788.0,185959.0,179458.0,162482.0,158137.0,157956.0,7483.0,5902.0,7061.0,4902.0,6057.0,5381.0,0
19018,50000.0,2,2,2,27,0,0,0,0,0,0,25870.0,21511.0,20952.0,21873.0,22319.0,24371.0,1325.0,1392.0,1313.0,759.0,2371.0,3294.0,0
19019,90000.0,2,1,2,28,-1,-1,-1,0,0,0,866.0,148.0,377.0,4229.0,6109.0,8832.0,148.0,377.0,4000.0,2109.0,2832.0,316.0,0
19020,210000.0,2,1,2,28,-1,0,0,0,0,0,85672.0,68394.0,70305.0,65626.0,64638.0,67498.0,6009.0,5000.0,5000.0,5000.0,5000.0,5000.0,0
19021,240000.0,2,1,2,28,0,0,0,0,0,0,246310.0,250252.0,250169.0,249495.0,192368.0,196585.0,10500.0,9900.0,10907.0,7000.0,8000.0,7535.0,0
19022,60000.0,2,2,1,34,2,2,2,2,2,0,40511.0,44019.0,45020.0,45785.0,44750.0,45578.0,4200.0,2000.0,1800.0,0.0,1700.0,3600.0,1
19023,440000.0,2,2,2,35,-1,0,0,-1,-1,-1,3091.0,3853.0,4012.0,821.0,821.0,821.0,1150.0,1084.0,821.0,821.0,821.0,821.0,0
19024,30000.0,2,2,1,42,2,2,0,0,0,0,28485.0,27204.0,28234.0,28272.0,28494.0,28182.0,0.0,2000.0,2483.0,1003.0,969.0,1208.0,1
19025,230000.0,2,2,2,26,0,0,-2,-2,-2,-2,23758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19026,440000.0,2,2,2,28,1,2,2,0,0,0,209176.0,215231.0,204369.0,186201.0,183518.0,148169.0,11000.0,54.0,7530.0,7648.0,6310.0,3312.0,1
19027,80000.0,2,2,1,29,0,0,0,0,0,0,63899.0,62048.0,49814.0,45292.0,43190.0,39457.0,2500.0,2500.0,2010.0,2000.0,2000.0,2000.0,1
19028,30000.0,2,2,1,30,0,0,0,0,0,0,29265.0,28901.0,28883.0,29411.0,24602.0,22760.0,2000.0,1655.0,1513.0,499.0,688.0,0.0,0
