ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
17001,50000.0,2,2,2,22,0,0,0,0,0,0,24775.0,25971.0,26666.0,27324.0,29596.0,26226.0,2001.0,1501.0,1501.0,3001.0,919.0,3501.0,0
17002,20000.0,2,2,2,22,1,-1,-1,-2,-2,-2,3843.0,396.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,1
17003,90000.0,2,3,2,22,0,0,0,0,0,0,68663.0,65244.0,52452.0,35001.0,29675.0,28667.0,4341.0,2068.0,3315.0,1029.0,1334.0,1673.0,0
17004,30000.0,2,1,2,22,0,0,0,0,0,0,29362.0,29819.0,30582.0,28983.0,27947.0,26630.0,1800.0,3000.0,1404.0,559.0,533.0,1000.0,0
17005,50000.0,2,2,2,22,2,2,2,3,2,2,19091.0,18487.0,22219.0,21520.0,20108.0,18207.0,0.0,4042.0,0.0,648.0,0.0,921.0,0
17006,150000.0,2,1,2,24,1,-1,-1,-1,-1,2,-200.0,200.0,200.0,200.0,550.0,550.0,600.0,200.0,200.0,550.0,200.0,0.0,0
17007,20000.0,2,3,1,24,0,0,0,0,2,2,10994.0,12006.0,15967.0,17576.0,16996.0,18223.0,1500.0,4500.0,2187.0,0.0,1500.0,0.0,1
17008,30000.0,2,1,2,24,0,-1,-1,0,0,0,30900.0,410.0,28883.0,24291.0,27503.0,28142.0,410.0,28883.0,1710.0,6000.0,1200.0,1175.0,1
17009,50000.0,2,2,2,24,2,2,2,2,2,2,49397.0,50388.0,51450.0,47867.0,51045.0,51118.0,2100.0,2200.0,0.0,4300.0,2100.0,0.0,0
17010,400000.0,2,1,2,30,0,0,0,0,0,0,153655.0,156309.0,137701.0,191514.0,121092.0,166173.0,26876.0,10134.0,85450.0,10140.0,88097.0,10086.0,0
17011,20000.0,2,2,2,23,0,0,0,0,0,0,16027.0,16740.0,17451.0,18141.0,18239.0,18302.0,1600.0,1600.0,1600.0,1000.0,663.0,654.0,0
17012,70000.0,2,2,2,23,1,2,0,0,0,-1,72306.0,70543.0,63061.0,61520.0,63080.0,2900.0,4.0,2407.0,2041.0,2387.0,2905.0,72697.0,0
17013,20000.0,2,1,2,23,-1,-1,0,0,0,0,6916.0,13914.0,10130.0,6165.0,6165.0,6315.0,14000.0,1145.0,950.0,0.0,150.0,6000.0,0
17014,30000.0,2,1,2,23,0,0,0,0,0,0,27013.0,26590.0,26249.0,22721.0,17650.0,25602.0,1470.0,1889.0,1400.0,384.0,1000.0,0.0,0
17015,30000.0,2,2,2,23,0,0,0,0,0,2,28138.0,22517.0,24148.0,25437.0,28391.0,27801.0,2000.0,2000.0,2000.0,3700.0,0.0,1500.0,0
17016,80000.0,2,1,2,24,2,2,0,0,0,0,48597.0,49259.0,46209.0,46574.0,47230.0,48282.0,1800.0,1800.0,1800.0,1800.0,1800.0,2000.0,1
17017,80000.0,2,1,2,24,0,0,0,0,0,0,78862.0,71124.0,59692.0,58055.0,44578.0,45889.0,4000.0,3000.0,1844.0,1567.0,2000.0,2000.0,0
17018,40000.0,2,2,2,24,0,0,0,2,2,0,33370.0,34413.0,37644.0,38026.0,36519.0,36724.0,1600.0,3800.0,1300.0,0.0,1400.0,1400.0,1
17019,70000.0,2,2,2,23,0,0,0,0,0,0,44830.0,46185.0,47208.0,47241.0,48212.0,45849.0,2100.0,2079.0,2500.0,2000.0,2000.0,1700.0,0
17020,10000.0,2,1,2,22,0,0,2,0,0,0,6967.0,9199.0,8908.0,9676.0,9680.0,8343.0,2523.0,0.0,1000.0,4.0,167.0,3535.0,1
17021,60000.0,2,2,1,24,2,0,0,0,2,0,61434.0,59358.0,57781.0,62309.0,60435.0,55468.0,2850.0,2130.0,7050.0,0.0,3190.0,2100.0,1
17022,50000.0,2,1,2,22,1,2,0,0,0,0,4434.0,4215.0,5241.0,6238.0,5979.0,7492.0,0.0,1103.0,1100.0,215.0,2000.0,1000.0,0
17023,80000.0,2,2,2,23,0,0,0,0,0,0,6805.0,8449.0,10303.0,11737.0,10619.0,49872.0,2000.0,2000.0,2000.0,1000.0,40002.0,2009.0,0
17024,70000.0,2,1,2,23,0,0,0,0,0,0,7668.0,8878.0,10077.0,11203.0,11320.0,11487.0,1500.0,1500.0,1600.0,600.0,500.0,600.0,1
17025,30000.0,2,3,2,22,0,0,-1,0,0,-1,8922.0,6698.0,187.0,1187.0,0.0,1405.0,1275.0,187.0,1000.0,0.0,1405.0,623.0,0
17026,30000.0,2,2,2,22,2,2,2,0,0,0,27201.0,27873.0,25406.0,23339.0,17869.0,15284.0,4000.0,0.0,2000.0,2000.0,1500.0,1000.0,1
17027,20000.0,2,2,2,25,0,0,0,0,0,0,18825.0,18545.0,18606.0,18904.0,19433.0,18902.0,1300.0,1613.0,1301.0,830.0,698.0,822.0,1
17028,50000.0,2,1,2,25,-1,-1,-1,-1,-1,-2,390.0,0.0,390.0,780.0,0.0,0.0,0.0,390.0,780.0,0.0,0.0,0.0,1
17029,30000.0,2,2,2,29,0,0,0,0,0,0,26953.0,27412.0,27835.0,28215.0,28345.0,29055.0,1741.0,2000.0,1439.0,959.0,1500.0,1411.0,0
17030,50000.0,2,2,2,24,0,0,0,0,0,0,50649.0,50607.0,49903.0,41083.0,29635.0,30261.0,1905.0,1801.0,1468.0,1043.0,1085.0,1193.0,0
17031,50000.0,2,1,2,22,1,2,2,2,0,0,42611.0,41632.0,44069.0,37395.0,32284.0,32805.0,0.0,3509.0,0.0,1302.0,1191.0,1492.0,0
17032,50000.0,2,3,2,23,2,2,2,2,2,2,41740.0,42755.0,43878.0,42877.0,45701.0,46720.0,2000.0,2100.0,0.0,3850.0,1900.0,1600.0,1
17033,50000.0,2,1,2,23,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17034,10000.0,2,1,2,23,3,2,2,7,7,7,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17035,10000.0,2,2,1,24,0,0,0,0,0,0,6902.0,7922.0,8939.0,9533.0,9692.0,9829.0,1142.0,1159.0,1140.0,692.0,829.0,1000.0,1
17036,110000.0,2,2,2,24,-1,-1,-1,-1,-1,0,1183.0,1362.0,1352.0,1867.0,36986.0,40053.0,1362.0,1352.0,1867.0,36986.0,5000.0,3000.0,0
17037,140000.0,2,2,2,24,0,0,0,0,0,0,34814.0,35806.0,36823.0,36285.0,36683.0,37150.0,1887.0,3000.0,1580.0,1294.0,1355.0,5000.0,0
17038,20000.0,2,1,2,24,0,0,-1,-1,-1,2,19000.0,15114.0,5831.0,14784.0,961.0,311.0,1000.0,5831.0,14784.0,961.0,0.0,15735.0,0
17039,30000.0,2,1,2,24,0,0,0,0,0,0,25288.0,27549.0,28784.0,28708.0,27916.0,30333.0,3000.0,2000.0,1800.0,2000.0,3000.0,2500.0,0
17040,100000.0,2,2,2,24,2,2,2,2,2,3,93330.0,95285.0,96674.0,97983.0,102803.0,100960.0,4400.0,3800.0,3800.0,7300.0,0.0,679.0,1
17041,20000.0,2,1,2,24,2,-1,-1,-1,-1,-1,1150.0,1661.0,-29.0,2992.0,3664.0,5364.0,1661.0,0.0,3021.0,3664.0,5364.0,0.0,0
17042,190000.0,2,2,2,25,0,0,0,0,0,0,26023.0,24995.0,23130.0,28126.0,26104.0,18840.0,1615.0,1200.0,26703.0,2104.0,7000.0,11747.0,0
17043,300000.0,2,2,2,24,0,0,0,-1,-1,-1,26158.0,25673.0,14290.0,7490.0,2962.0,0.0,5673.0,7000.0,7490.0,2962.0,0.0,0.0,0
17044,50000.0,2,2,1,26,2,2,2,2,2,2,46800.0,47830.0,48868.0,49470.0,48003.0,50755.0,2100.0,2100.0,1701.0,1.0,3906.0,0.0,1
17045,30000.0,2,3,2,26,0,0,2,0,0,0,30467.0,30403.0,30546.0,30255.0,30096.0,30353.0,2173.0,1613.0,1453.0,946.0,997.0,1118.0,0
17046,20000.0,2,1,2,25,-1,-1,-1,-1,0,0,4541.0,0.0,724.0,18589.0,18985.0,19531.0,0.0,724.0,18589.0,1000.0,1000.0,1000.0,1
17047,60000.0,2,2,2,25,0,-1,0,0,0,-1,3075.0,59808.0,58058.0,59679.0,5575.0,1733.0,61058.0,2186.0,5667.0,1200.0,2000.0,0.0,1
17048,70000.0,2,2,1,25,0,0,0,0,0,0,67574.0,69876.0,56925.0,28421.0,8706.0,29275.0,3839.0,2000.0,3000.0,1100.0,28000.0,1180.0,0
17049,60000.0,2,2,1,24,2,3,2,2,2,0,34708.0,33866.0,33041.0,35284.0,31602.0,32221.0,0.0,0.0,2900.0,0.0,1200.0,1409.0,1
17050,60000.0,2,2,1,25,2,0,0,2,0,0,33598.0,34733.0,37460.0,36558.0,37945.0,38782.0,2000.0,3600.0,0.0,2000.0,1600.0,1600.0,1
17051,30000.0,2,2,2,22,2,2,0,0,0,2,31331.0,24544.0,28267.0,30470.0,29284.0,25762.0,0.0,5600.0,3005.0,1200.0,0.0,5000.0,1
17052,100000.0,2,2,1,24,2,0,0,0,-2,-1,68371.0,9015.0,3325.0,0.0,0.0,93737.0,1300.0,1000.0,0.0,0.0,94562.0,3700.0,1
17053,70000.0,2,3,2,25,2,0,0,0,0,0,70963.0,71056.0,70850.0,70823.0,71006.0,70828.0,2527.0,2615.0,2500.0,3000.0,2600.0,3000.0,1
17054,20000.0,2,2,2,22,0,0,0,0,0,-1,38391.0,20305.0,7992.0,13524.0,19320.0,8430.0,2608.0,2000.0,11200.0,9386.0,14500.0,10800.0,1
17055,50000.0,2,2,2,22,0,0,2,0,0,0,38340.0,41362.0,34656.0,35004.0,35514.0,2582.0,3700.0,0.0,1200.0,710.0,52.0,1000.0,0
17056,50000.0,2,3,1,22,2,2,2,2,2,2,40247.0,40189.0,43434.0,44316.0,45189.0,46214.0,900.0,3900.0,1900.0,1900.0,1900.0,3600.0,0
17057,30000.0,2,2,1,22,0,0,0,0,0,0,14533.0,16534.0,17213.0,17723.0,17431.0,17882.0,3002.0,2002.0,1553.0,1002.0,2002.0,1000.0,0
17058,30000.0,2,3,2,22,2,2,0,0,0,0,29793.0,29008.0,29047.0,29507.0,11609.0,11711.0,0.0,1687.0,1147.0,524.0,400.0,666.0,1
17059,30000.0,2,2,2,22,0,0,0,0,0,0,25490.0,26494.0,27534.0,28177.0,28399.0,28655.0,1432.0,1472.0,1447.0,1001.0,1030.0,1059.0,1
17060,60000.0,2,2,2,23,2,0,0,0,0,0,58900.0,60020.0,60195.0,60864.0,40512.0,39523.0,2717.0,2929.0,2429.0,1551.0,1567.0,1456.0,1
17061,20000.0,2,2,1,22,0,0,0,-1,-1,0,19667.0,19974.0,5491.0,831.0,20088.0,19733.0,1500.0,1000.0,831.0,20500.0,1000.0,1100.0,1
17062,50000.0,2,3,2,23,2,0,0,0,0,0,50653.0,49348.0,47995.0,40226.0,27828.0,28411.0,2190.0,2027.0,2204.0,996.0,1031.0,1047.0,0
17063,30000.0,2,1,2,24,0,0,0,0,0,0,28049.0,27383.0,25728.0,26521.0,23593.0,21963.0,2000.0,1500.0,2000.0,1000.0,1000.0,1000.0,0
